material_id,category,name,catalogue_unit,proposed_price_ngn,low_ngn,high_ngn,price_basis,confidence,recommended_action,sources,notes
cmu6lelid00cbrqc7xcl2lg4b,Aggregates & Sand,Plaster Sand (Fine Sand),Trip (Tipper load) (~30 tonnes/trip),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6leu0g00ckrqc7uboxfk0s,Aggregates & Sand,Quarry Dust (Crushed Stone Dust),Trip (Tipper load) (~30 tonnes/trip),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6leiyh00c8rqc7yzv8y23m,Aggregates & Sand,Sharp Sand (River Sand),Trip (Tipper load) (~30 tonnes/trip),160000,105000,225000,per ~30t trip,Low,Verify with 2-3 supplier quotes before publishing,"Prioni sharp sand, early 2026 https://www.prioni.com.ng/current-price-of-sharp-sand-in-nigeria/","20t = ₦70,000-150,000 in the source; haul distance dominates."
cmu6lfjri00dbrqc7yehq1ft0,"Blocks, Bricks & Masonry",Aerated Autoclaved Concrete (AAC) Block,Piece (Pallet),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lfe2700d5rqc7hrmb4rdf,"Blocks, Bricks & Masonry",Clay Bricks (Burnt Bricks),Piece (Pallet),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lfb3i00d2rqc7114popr3,"Blocks, Bricks & Masonry",Interlocking Stabilised Earth Block,Piece (Pallet),450,300,600,per block,Medium,Publish after one supplier check,Skillland 4 Jul 2026 (national guide) https://www.skillland.ng/cost-guides/cost-of-block-work-in-nigeria-in-2026-per-block-per-m-and-full-project-pricing,National range.
cmu6lfgu500d8rqc7y98qmfd3,"Blocks, Bricks & Masonry",Precast Concrete Paving / Kerb Blocks,m² / Piece (Pallet (per m²)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lf5te00cwrqc7x998vfnx,"Blocks, Bricks & Masonry",Sandcrete Hollow Block — 6-inch,Piece (Pallet (~60–100 pcs)),750,600,900,per block,Medium,Publish after one supplier check,Skillland 4 Jul 2026 (national guide) https://www.skillland.ng/cost-guides/cost-of-block-work-in-nigeria-in-2026-per-block-per-m-and-full-project-pricing,National range; Abuja typically higher than Lagos. Catalogue unit says pallet - price is per block.
cmu6lf30z00ctrqc79ide102i,"Blocks, Bricks & Masonry",Sandcrete Hollow Block — 9-inch,Piece (Pallet (~60–100 pcs)),1075,850,1300,per block,Medium,Publish after one supplier check,Skillland 4 Jul 2026 (national guide) https://www.skillland.ng/cost-guides/cost-of-block-work-in-nigeria-in-2026-per-block-per-m-and-full-project-pricing,As above.
cmu6lf8ke00czrqc7gsmqx9r7,"Blocks, Bricks & Masonry",Sandcrete Solid Block — 5-inch,Piece (Pallet),650,500,800,per block,Low,Verify with 2-3 supplier quotes before publishing,Skillland 4 Jul 2026 (national guide) https://www.skillland.ng/cost-guides/cost-of-block-work-in-nigeria-in-2026-per-block-per-m-and-full-project-pricing,Derived from the 6-inch price; no direct source.
cmu6lkb9p00iqrqc7rvgjcpnt,Ceiling & POP/Gypsum,Cornice / Ceiling Trim,Length (2–3m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lk1e000ierqc7m7zt9rwc,Ceiling & POP/Gypsum,Gypsum Ceiling Board (Standard),Sheet (Per sheet),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lk3uc00ihrqc7csietla5,Ceiling & POP/Gypsum,POP (Plaster of Paris) Ceiling Tile,Piece / m² (Per tile or per m² (in-situ)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lk8ro00inrqc7fw0edn2p,Ceiling & POP/Gypsum,PVC Ceiling Panel,Piece / Length (Per panel),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lk6ce00ikrqc7e2b8cnz2,Ceiling & POP/Gypsum,Suspended Ceiling Grid System (T & L Angle),Set / Length (Per project area),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ldem200azrqc7y6z45926,Cement & Binders,BUA Cement 32.5 Grade (50kg),Bag (50kg bag),12000,11500,13000,per 50kg bag,High,Publish,"Legit.ng 21 Sep 2026 (dealer/distributor quotes, Lagos & Abuja) https://www.legit.ng/business-economy/industry/1732012-cement-prices-nigeria-how-dangote-bua-50kg-bags-cost-lagos-abuja-kano-ibadan/ ; Punch 5 Sep 2026 https://www.naijapunchnews.com.ng/2026/09/no-more-n15000bag-bua-dangote-lafarge.html","Lagos ₦11,500 verified distributor to ₦13,550 dealers; Abuja ₦12,200. Sources do not separate 32.5 from 42.5."
cmu6ld09800ahrqc7ppx28k58,Cement & Binders,Concrete Admixture (Plasticizer / Waterproofer),Litre / Drum (20L drum),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ldgzm00b2rqc7wmi9gqch,Cement & Binders,Dangote 3X Cement 52.5 Grade (50kg),Bag (50kg bag),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ldc7c00awrqc74ehad2ee,Cement & Binders,Dangote Cement 32.5 Grade (50kg),Bag (50kg bag),12500,12000,13550,per 50kg bag,High,Publish,"Legit.ng 21 Sep 2026 (dealer/distributor quotes, Lagos & Abuja) https://www.legit.ng/business-economy/industry/1732012-cement-prices-nigeria-how-dangote-bua-50kg-bags-cost-lagos-abuja-kano-ibadan/ ; Punch 5 Sep 2026 https://www.naijapunchnews.com.ng/2026/09/no-more-n15000bag-bua-dangote-lafarge.html","Lagos ₦13,000-13,550; Abuja ₦11,800-15,000 (bulk truckload ₦12,500). Grade not separated in sources."
cmu6ld9se00atrqc7x33lbtuv,Cement & Binders,Ibeto Cement 42.5 Grade (50kg),Bag (50kg bag),11000,9500,12500,per 50kg bag,Low,Verify with 2-3 supplier quotes before publishing,"Legit.ng 21 Sep 2026 (dealer/distributor quotes, Lagos & Abuja) https://www.legit.ng/business-economy/industry/1732012-cement-prices-nigeria-how-dangote-bua-50kg-bags-cost-lagos-abuja-kano-ibadan/ ; Punch 5 Sep 2026 https://www.naijapunchnews.com.ng/2026/09/no-more-n15000bag-bua-dangote-lafarge.html",No Ibeto quote in the Sep 2026 reports; estimated below Dangote/BUA per earlier 2026 snippets.
cmu6lcrne00a8rqc7azky010r,Cement & Binders,Portland Cement 52.5 Grade,Bag (50kg bag),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lcwsa00aerqc7pn5jhtvb,Cement & Binders,Ready-Mix Concrete (RMC),"Cubic metre (m³) (Truck load, min. ≈ 6–7 m³)",150000,124000,180000,per m3,Low,Verify with 2-3 supplier quotes before publishing,"Jiji ad C15 20mm S3 ₦124,000/m3 Ikorodu (undated); C30/35 ~₦150,000/m3 Apr 2026 and Lagos ₦120,000-180,000 in search snippets (not opened)",Wide by grade (C15 to C40) and delivery zone; VAT excluded in sources. List per grade rather than one price.
cmu6lcucp00abrqc7qgmkeksi,Cement & Binders,White Cement,Bag (25kg / 40kg bag),14000,12000,15000,per bag (pack size unconfirmed),Low,Verify with 2-3 supplier quotes before publishing,"Legit.ng 21 Sep 2026 (dealer/distributor quotes, Lagos & Abuja) https://www.legit.ng/business-economy/industry/1732012-cement-prices-nigeria-how-dangote-bua-50kg-bags-cost-lagos-abuja-kano-ibadan/ ; Punch 5 Sep 2026 https://www.naijapunchnews.com.ng/2026/09/no-more-n15000bag-bua-dangote-lafarge.html","Only quote: Linma white cement ₦14,000 (market quotations 1 Sep 2026). Pack size not stated - confirm 25kg vs 40kg before listing."
cmu6lhclu00f8rqc75w88y1ea,Doors & Windows,Aluminium Casement Window,Piece / m² (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lh9yt00f5rqc7jcs78vlp,Doors & Windows,Aluminium Sliding Window,Piece / m² (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lhi2s00ferqc7yb0tew7a,Doors & Windows,Curtain Wall Glazing System,m² (Per m² of facade),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lhkjd00fhrqc7u7wy00sr,Doors & Windows,Door / Window Ironmongery Set,Set (Per door/window set),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lh1i300ewrqc7mer5q0s5,Doors & Windows,Flush Panel Door (Wooden),Piece (Per door leaf),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lh4ae00ezrqc7e1dypmnk,Doors & Windows,Solid Timber Door,Piece (Per door leaf),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lh74a00f2rqc7ldxnpqut,Doors & Windows,Steel Security Door,Piece (Per door leaf),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lhf9m00fbrqc70mjmimwn,Doors & Windows,uPVC Window / Door System,Piece / m² (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lijse00gnrqc7tzn8kmqp,Electrical Materials,Armoured Cable (SWA / XLPE),Length / Drum (Per drum (varies)),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lirfa00gwrqc7qnojnlmf,Electrical Materials,Circuit Breaker (MCB / MCCB),Piece (Per unit),5500,4000,8000,"per 1-pole MCB, 16-32A",Low,Verify with 2-3 supplier quotes before publishing,"Jumia live listings, accessed 25 Sep 2026 (national retail, not Lagos/Abuja specific) https://www.jumia.com.ng/","Jumia: generic 1P ₦4,000-5,000; Schneider Easy9 1P ₦8,000. MCCBs cost far more - split."
cmu6liou700gtrqc7t9vov7c8,Electrical Materials,Distribution Board / Consumer Unit,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lj0sj00h8rqc7yvmh5b75,Electrical Materials,Distribution Transformer,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6liygt00h5rqc7dgvydytq,Electrical Materials,Earthing Rod & Accessories,Set (Per set),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6liw4300h2rqc7srue4nb2,Electrical Materials,LED Light Fitting,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6limbq00gqrqc76r4s7vk8,Electrical Materials,PVC Conduit Pipe (Electrical),Length (3m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6licje00gerqc79qnzbtr3,Electrical Materials,Single-Core PVC Cable 1.5mm²,Coil (Roll) (100m coil),67000,60000,75000,per 100m coil,Low,Verify with 2-3 supplier quotes before publishing,"Jumia live listings, accessed 25 Sep 2026 (national retail, not Lagos/Abuja specific) https://www.jumia.com.ng/","Jumia Coleman 1.5mm listings ₦60,000 and ₦74,800; coil length not stated on listings."
cmu6lif3100ghrqc71r6rletd,Electrical Materials,Single-Core PVC Cable 2.5mm²,Coil (Roll) (100m coil),90000,80000,95000,per 100m coil,Low,Verify with 2-3 supplier quotes before publishing,"Jumia live listings, accessed 25 Sep 2026 (national retail, not Lagos/Abuja specific) https://www.jumia.com.ng/","Jumia Coleman 2.5mm listings ₦90,000 (two)."
cmu6lihgm00gkrqc7lp9nvlhy,Electrical Materials,Single-Core PVC Cable 4mm² / 6mm²,Coil (Roll) (100m coil),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lj39l00hbrqc7umyhcys6,Electrical Materials,Standby Generator (Diesel),Piece (Per unit),6500000,5500000,8500000,per 30kVA Perkins,Low,Verify with 2-3 supplier quotes before publishing,Titanium Power Solutions 18 Mar 2026 https://titaniumpowersolutions.com/30kva-generator-price-nigeria-2026-complete-guide/,Item has no size: split by kVA. FG Wilson/Cummins 30kVA ₦8.5-14.5M.
cmu6litp000gzrqc7kdwig5aq,Electrical Materials,Switch & Socket Outlet,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llozf00kerqc7v335t642,"Fencing, Security & Site Materials",Chain-Link Fencing,Roll / m² (Roll),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llx7g00knrqc70g0wdpk7,"Fencing, Security & Site Materials",Electric Fence Kit (Commercial),Kit (Per kit / per metre),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lluiw00kkrqc728yw825j,"Fencing, Security & Site Materials",Precast Concrete Fence Panel,Panel (Per panel),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llmii00kbrqc766jnxyfh,"Fencing, Security & Site Materials",Razor Wire (Concertina),Coil (Per coil),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6llrtk00khrqc75c1fgw4x,"Fencing, Security & Site Materials",Steel Palisade Fencing,Length / Panel (Per panel),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lkdmj00itrqc7vk4ufhqf,Glass & Glazing,Clear Float Glass 4mm/6mm,m² / Sheet (Standard sheet size),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lkkyy00j2rqc70ee23er3,Glass & Glazing,Laminated Glass,m² / Sheet (Custom-cut per order),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lknc900j5rqc7st3bphx5,Glass & Glazing,Mirror Glass,m² / Sheet (Standard sheet size),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lkii400izrqc74tg3hg0o,Glass & Glazing,Tempered / Toughened Safety Glass,m² / Sheet (Custom-cut per order),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lkfz800iwrqc7xmbiol4l,Glass & Glazing,Tinted / Reflective Glass,m² / Sheet (Standard sheet size),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ljhda00hqrqc7pmr5dkm8,Paints & Coatings,Primer / Undercoat,Litre / Drum (4L / 20L),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ljjvf00htrqc7gtucfobo,Paints & Coatings,Waterproof Coating (Roof / Wall),Litre / Drum (20L drum),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ljmek00hwrqc7zpq7jrgb,Paints & Coatings,Wood Stain / Varnish,Litre (1L / 4L),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6li7bw00g8rqc774qjbk51,Plumbing & Pipes,Gate Valve / Check Valve,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lhwxl00fwrqc7uxoh9ef4,Plumbing & Pipes,HDPE Pipe,Length / Coil (Coil or length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6li20x00g2rqc77jf9lyd9,Plumbing & Pipes,Plastic Water Storage Tank,Piece (Per tank),120000,95000,165000,"per 1,000L tank",Low,Verify with 2-3 supplier quotes before publishing,"Mypricespot 3 Nov 2025 https://mypricespot.com.ng/water-tank-price/ ; Jiji GeePee 1000L ₦130,000 (Ajah); another retailer ₦164,800",Item has no capacity: split by litres. Nov 2025 list ₦85-110k; live ads ₦130-165k.
cmu6lhulo00ftrqc76hi7fbv0,Plumbing & Pipes,PPR Pipe & Fittings,Length (4m length),1650,1400,1900,"per length, 3/4 inch",Low,Verify with 2-3 supplier quotes before publishing,Nigerianprice.com Sep 2026 general plumbing table https://nigerianprice.com/prices-of-plumbing-materials-in-nigeria/ (site also carries stale pages elsewhere - treat with care),Unverified table; length not stated.
cmu6lhmwa00fkrqc7a67qc9uu,Plumbing & Pipes,"PVC Pipe 1/2"" (Pressure Class)",Length (6m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lhpix00fnrqc7oy1xp5ch,Plumbing & Pipes,"PVC Pipe 4"" (Drainage)",Length (6m length),6500,5500,7500,per length,Low,Verify with 2-3 supplier quotes before publishing,Nigerianprice.com Sep 2026 general plumbing table https://nigerianprice.com/prices-of-plumbing-materials-in-nigeria/ (site also carries stale pages elsewhere - treat with care),Unverified table; length not stated.
cmu6lhs9i00fqrqc77tqj43ef,Plumbing & Pipes,"PVC Pipe 6"" (Sewer Main)",Length (6m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6li4mz00g5rqc7wn6bsgfv,Plumbing & Pipes,Septic Tank (Precast Concrete / Plastic),Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lhzk900fzrqc72n07mutg,Plumbing & Pipes,uPVC Conduit Pipe (Electrical),Length (3m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6lia6s00gbrqc7ji5stdjd,Plumbing & Pipes,Water Meter,Piece (Per unit),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6leah900bzrqc7lo2fw6in,Reinforcement & Structural Steel,Angle Iron (Equal Angle),Length (6m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6le2rl00bqrqc7bmlzacnn,Reinforcement & Structural Steel,Binding Wire,Roll / Kg (25kg roll),30000,18000,38000,per 25kg roll,Low,Verify with 2-3 supplier quotes before publishing,"Prioni Feb 2026 (₦18,000-30,000 per roll) plus derived from rebar price per tonne",Estimate; confirm roll weight.
cmu6le5d300btrqc7vb96ub9l,Reinforcement & Structural Steel,BRC Welded Wire Mesh,Sheet (2.4m × 4.8m sheet),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ldmdb00b8rqc7jd6xqd54,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 10mm,Length / Tonne (12m length),7000,6000,7500,per 12m length,Medium,Publish after one supplier check,"Prioni Feb 2026 https://www.prioni.com.ng/current-price-of-iron-rods-in-nigeria/ ; Naijasabi 28 May 2026 (cites BestSales Feb 2026, Spiritlevel Mar 2026) https://naijasabi.com.ng/iron-rod-price-nigeria-2026/ ; cross-checked against bar weight per 12 m",As above.
cmu6ldpib00bbrqc7la0p851e,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 12mm,Length / Tonne (12m length),10000,8500,11500,per 12m length,Medium,Publish after one supplier check,"Prioni Feb 2026 https://www.prioni.com.ng/current-price-of-iron-rods-in-nigeria/ ; Naijasabi 28 May 2026 (cites BestSales Feb 2026, Spiritlevel Mar 2026) https://naijasabi.com.ng/iron-rod-price-nigeria-2026/ ; cross-checked against bar weight per 12 m","Two sources overlap at ~₦10,000. Abuja ~4% above Lagos per Prioni regional table."
cmu6lds3s00berqc7kmphaxnv,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 16mm,Length / Tonne (12m length),18000,15000,22000,per 12m length,Medium,Publish after one supplier check,"Prioni Feb 2026 https://www.prioni.com.ng/current-price-of-iron-rods-in-nigeria/ ; Naijasabi 28 May 2026 (cites BestSales Feb 2026, Spiritlevel Mar 2026) https://naijasabi.com.ng/iron-rod-price-nigeria-2026/ ; cross-checked against bar weight per 12 m",As above.
cmu6ldums00bhrqc7641c1rui,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 20mm,Length / Tonne (12m length),28000,23000,36000,per 12m length,Low,Verify with 2-3 supplier quotes before publishing,"Prioni Feb 2026 https://www.prioni.com.ng/current-price-of-iron-rods-in-nigeria/ ; Naijasabi 28 May 2026 (cites BestSales Feb 2026, Spiritlevel Mar 2026) https://naijasabi.com.ng/iron-rod-price-nigeria-2026/ ; cross-checked against bar weight per 12 m",Sources disagree (₦23-26k vs ₦30-38k).
cmu6ldxec00bkrqc7tmqhh7ue,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 25mm,Length / Tonne (12m length),48000,36000,60000,per 12m length,Low,Verify with 2-3 supplier quotes before publishing,"Prioni Feb 2026 https://www.prioni.com.ng/current-price-of-iron-rods-in-nigeria/ ; Naijasabi 28 May 2026 (cites BestSales Feb 2026, Spiritlevel Mar 2026) https://naijasabi.com.ng/iron-rod-price-nigeria-2026/ ; cross-checked against bar weight per 12 m",Sources disagree widely.
cmu6le08r00bnrqc7m89ja5hu,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 32mm,Length / Tonne (12m length),80000,70000,90000,per 12m length,Low,Verify with 2-3 supplier quotes before publishing,"Prioni Feb 2026 https://www.prioni.com.ng/current-price-of-iron-rods-in-nigeria/ ; Naijasabi 28 May 2026 (cites BestSales Feb 2026, Spiritlevel Mar 2026) https://naijasabi.com.ng/iron-rod-price-nigeria-2026/ ; cross-checked against bar weight per 12 m",No source: derived as bar weight (75.8 kg) x ~₦1.0-1.1M/tonne.
cmu6ldjbi00b5rqc715icb4ri,Reinforcement & Structural Steel,Reinforcement Bar (Rebar) — 8mm,Length / Tonne (12m length; ~2 tonnes/bundle),4500,3500,5500,per 12m length,Medium,Publish after one supplier check,"Prioni Feb 2026 https://www.prioni.com.ng/current-price-of-iron-rods-in-nigeria/ ; Naijasabi 28 May 2026 (cites BestSales Feb 2026, Spiritlevel Mar 2026) https://naijasabi.com.ng/iron-rod-price-nigeria-2026/ ; cross-checked against bar weight per 12 m",No Sep 2026 source; Feb-Mar 2026 data. Check with a mill/distributor - steel moved a lot in 2026.
cmu6leg8f00c5rqc7wln07glx,Reinforcement & Structural Steel,Square / Rectangular Hollow Section (Tubing),Length (6m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
cmu6ledhy00c2rqc7t19r13kl,Reinforcement & Structural Steel,Steel Channel / C-Purlin,Length (6m length),,,,,None,"Request a quote - keep off the storefront (or show ""Request price"")",No reliable public 2026 price found for Lagos/Abuja,Needs supplier quote
