material_id,supplier_group,category,item,catalogue_description,quote_this_exact_spec,quote_per,reference_estimate_ngn,reference_low_ngn,reference_high_ngn,reference_note,quote_1_ngn,quote_1_city,quote_1_supplier,quote_2_ngn,quote_2_city,quote_2_supplier,quote_3_ngn,quote_3_city,quote_3_supplier,quote_date,final_catalogue_price_ngn,notes
cmu6l7dws000xrqc78a5yxy5q,"Cement, admixtures & ready-mix",Cement,Ashaka Cement 32.5R,"Grade 32.5R, general purpose · 32.5R","Ashaka 32.5R, 50kg bag",per 50kg bag,,,,"Held for review; no public quote. Seeded price was ₦6,900 (stale).",,,,,,,,,,,,
cmu6ld09800ahrqc7ppx28k58,"Cement, admixtures & ready-mix",Cement & Binders,Concrete Admixture (Plasticizer / Waterproofer),"Superplasticizer or integral waterproofer, dosage per litre of water · ASTM C494","Concrete plasticizer/water-reducing admixture (Sika/Fosroc/Conbextra equivalent), 20L drum",per 20L drum,,,,No public quote.,,,,,,,,,,,,
cmu6ldgzm00b2rqc7wmi9gqch,"Cement, admixtures & ready-mix",Cement & Binders,Dangote 3X Cement 52.5 Grade (50kg),Compressive strength class 52.5N/R · NIS 444-1 (CEM I),"Dangote 3X (52.5 grade), 50kg bag, delivered",per 50kg bag,,,,"No 3X-specific public quote; brand cement is about ₦12,000-13,550 in Lagos and ₦11,800-15,000 in Abuja (Sep 2026).",,,,,,,,,,,,
cmu6ld9se00atrqc7x33lbtuv,"Cement, admixtures & ready-mix",Cement & Binders,Ibeto Cement 42.5 Grade (50kg),Compressive strength class 42.5N/R · NIS 444-1 (CEM II),"Ibeto 42.5R, 50kg bag",per 50kg bag,11000,9500,12500,,,,,,,,,,,,,
cmu6lcrne00a8rqc7azky010r,"Cement, admixtures & ready-mix",Cement & Binders,Portland Cement 52.5 Grade,Compressive strength class 52.5N/52.5R (min. 52.5 N/mm² @ 28 days) · NIS 444-1 (CEM I),"Any 52.5N/52.5R OPC brand, 50kg bag (state brand)",per 50kg bag,,,,No public quote.,,,,,,,,,,,,
cmu6lcwsa00aerqc7pn5jhtvb,"Cement, admixtures & ready-mix",Cement & Binders,Ready-Mix Concrete (RMC),Design mixes C20/25 to C40/50; slump-controlled · BS 8500 / EN 206,"C25 concrete, 20mm aggregate, slump S3, delivered by truck (state minimum load and pumping charge)",per m³,150000,124000,180000,"C15 ₦124,000/m³ (Jiji ad, Ikorodu); C30/35 about ₦150,000/m³ (Apr 2026 snippet).",,,,,,,,,,,,
cmu6lcucp00abrqc7qgmkeksi,"Cement, admixtures & ready-mix",Cement & Binders,White Cement,"White Portland cement, high whiteness index · ASTM C150 (Type I white)","White cement, state brand and bag size (25kg or 40kg)",per bag (state kg),14000,12000,15000,"Linma white cement ₦14,000 (1 Sep 2026 market quotation, bag size unstated).",,,,,,,,,,,,
cmu6lhclu00f8rqc75w88y1ea,"Doors, windows & glass",Doors & Windows,Aluminium Casement Window,Standard/custom sizes,"Aluminium casement window 1200x1200mm, 1.2mm profile, 5mm clear glass, supply only",per window,,,,"2023-era ₦7,000-10,500 for small windows - stale.",,,,,,,,,,,,
cmu6lh9yt00f5rqc7jcs78vlp,"Doors, windows & glass",Doors & Windows,Aluminium Sliding Window,Standard/custom sizes; various profile series,"Aluminium sliding window 1200x1200mm, 1.2mm profile, 5mm clear glass, supply only",per window,,,,"2023-era ₦4,000-8,000 for 600mm windows - stale.",,,,,,,,,,,,
cmu6lhi2s00ferqc7yb0tew7a,"Doors, windows & glass",Doors & Windows,Curtain Wall Glazing System,Aluminium mullion/transom frame + glass infill,"Aluminium curtain wall with 6mm tempered glass, supply & install",per m² of facade,,,,No public quote.,,,,,,,,,,,,
cmu6lhkjd00fhrqc7u7wy00sr,"Doors, windows & glass",Doors & Windows,Door / Window Ironmongery Set,"Various — mortice locks, tower bolts, hinges","Door set: lever handle with lock, 3 hinges, 2 bolts",per door set,,,,No public quote.,,,,,,,,,,,,
cmu6lh1i300ewrqc7mer5q0s5,"Doors, windows & glass",Doors & Windows,Flush Panel Door (Wooden),Standard sizes 900x2100mm / 800x2100mm,Hollow-core flush door leaf 900x2100mm (also ask solid-core),per leaf,,,,"2023 figures ₦5,000-11,000 - stale (page says updated 15 Jun 2023).",,,,,,,,,,,,
cmu6lh4ae00ezrqc7e1dypmnk,"Doors, windows & glass",Doors & Windows,Solid Timber Door,"Solid hardwood, custom or standard sizes",Solid mahogany door leaf 900x2100mm,per leaf,,,,"Interior wooden doors ₦10,000-70,000 (BestSales, 2026 snippet); very wide.",,,,,,,,,,,,
cmu6lh74a00f2rqc7ldxnpqut,"Doors, windows & glass",Doors & Windows,Steel Security Door,"Steel sheet over frame, multi-point lock option","Single-leaf steel security door 1000x2100mm, 1.2mm sheet, with frame",per door,,,,"2023 figures ₦15,000-70,000 - stale.",,,,,,,,,,,,
cmu6lhf9m00fbrqc70mjmimwn,"Doors, windows & glass",Doors & Windows,uPVC Window / Door System,"Multi-chamber uPVC profile, double glazing option","uPVC sliding window 1200x1200mm, 5mm clear glass",per window,,,,No public quote.,,,,,,,,,,,,
cmu6lkdmj00itrqc7vk4ufhqf,"Doors, windows & glass",Glass & Glazing,Clear Float Glass 4mm/6mm,"4mm / 6mm thickness, clear float · BS EN 572","6mm clear float glass, cut to size",per m²,,,,"Sheet glass ₦6,500-10,000 per piece (Nigerianprice; date unreliable; per piece not per m²).",,,,,,,,,,,,
cmu6lkkyy00j2rqc70ee23er3,"Doors, windows & glass",Glass & Glazing,Laminated Glass,"Various build-ups, e.g. 6.38mm, 8.76mm · BS EN 14449","6.38mm clear laminated glass, cut to size",per m²,,,,No public quote.,,,,,,,,,,,,
cmu6lknc900j5rqc7st3bphx5,"Doors, windows & glass",Glass & Glazing,Mirror Glass,"4mm–6mm, silvered backing","5mm silver mirror, cut to size",per m²,,,,No public quote.,,,,,,,,,,,,
cmu6lkii400izrqc74tg3hg0o,"Doors, windows & glass",Glass & Glazing,Tempered / Toughened Safety Glass,"6–12mm, tempered per size/application · BS EN 12150","10mm clear toughened glass, cut to size",per m²,,,,No public quote.,,,,,,,,,,,,
cmu6lkfz800iwrqc7xmbiol4l,"Doors, windows & glass",Glass & Glazing,Tinted / Reflective Glass,"Various tint/reflective coatings, 6–10mm · BS EN 1096","6mm bronze or blue reflective glass, cut to size",per m²,,,,No public quote.,,,,,,,,,,,,
cmu6lijse00gnrqc7tzn8kmqp,Electrical & power,Electrical Materials,Armoured Cable (SWA / XLPE),"XLPE-insulated, steel-wire-armoured, various sizes · BS 5467",3-core 16mm² copper XLPE/SWA armoured cable,per metre,,,,No public quote.,,,,,,,,,,,,
cmu6lirfa00gwrqc7qnojnlmf,Electrical & power,Electrical Materials,Circuit Breaker (MCB / MCCB),"Ratings 6A–100A (MCB), higher for MCCB · IEC 60898 / IEC 60947-2","1-pole 20A MCB, C-curve (also ask 32A and a 100A MCCB)",per MCB,5500,4000,8000,"Jumia: generic 1P ₦4,000-5,000; Schneider Easy9 1P ₦8,000 (25 Sep 2026).",,,,,,,,,,,,
cmu6liou700gtrqc7t9vov7c8,Electrical & power,Electrical Materials,Distribution Board / Consumer Unit,"4-way to 24-way boards, surface or flush mount · IEC 61439","Single-phase 8-way metal consumer unit, empty",per unit,,,,No usable public quote.,,,,,,,,,,,,
cmu6lj0sj00h8rqc7yvmh5b75,Electrical & power,Electrical Materials,Distribution Transformer,Various kVA ratings (e.g. 300–1000kVA) · IEC 60076,"500kVA, 11kV/415V, oil-filled, ONAN",per transformer,,,,No public quote.,,,,,,,,,,,,
cmu6liygt00h5rqc7dgvydytq,Electrical & power,Electrical Materials,Earthing Rod & Accessories,"1.2–2.4m rod length, copper-bonded steel · BS 7430",Copper-bonded earth rod 1.5m x 16mm with clamp,per set,,,,No public quote.,,,,,,,,,,,,
cmu6liw4300h2rqc7srue4nb2,Electrical & power,Electrical Materials,LED Light Fitting,Various wattages and fitting types,"LED panel 600x600mm, 40W, 6500K",per unit,,,,No usable public quote (marketplace results were decorative chandeliers).,,,,,,,,,,,,
cmu6limbq00gqrqc76r4s7vk8,Electrical & power,Electrical Materials,PVC Conduit Pipe (Electrical),20mm / 25mm diameter,"DUPLICATE of Fittings ""PVC Conduit Pipe, 20mm/25mm"" - do not quote; retire this row",n/a,,,,Duplicate of a live item.,,,,,,,,,,,,
cmu6licje00gerqc79qnzbtr3,Electrical & power,Electrical Materials,Single-Core PVC Cable 1.5mm²,"1.5mm² copper conductor, PVC insulation · IEC 60227 / NIS","1.5mm² single-core copper PVC cable, 100m coil, SON-approved (state brand)",per 100m coil,67000,60000,75000,"Jumia Coleman 1.5mm ₦60,000-74,800; coil length not stated.",,,,,,,,,,,,
cmu6lif3100ghrqc71r6rletd,Electrical & power,Electrical Materials,Single-Core PVC Cable 2.5mm²,"2.5mm² copper conductor, PVC insulation · IEC 60227 / NIS","2.5mm² single-core copper PVC cable, 100m coil, SON-approved",per 100m coil,90000,80000,95000,"Jumia Coleman 2.5mm ₦90,000 (two listings).",,,,,,,,,,,,
cmu6lihgm00gkrqc7lp9nvlhy,Electrical & power,Electrical Materials,Single-Core PVC Cable 4mm² / 6mm²,4mm² / 6mm² copper conductor · IEC 60227 / NIS,"4mm² single-core copper cable, 100m coil (also ask 6mm²)",per 100m coil,,,,Only a July 2023 figure exists; do not use.,,,,,,,,,,,,
cmu6lj39l00hbrqc7umyhcys6,Electrical & power,Electrical Materials,Standby Generator (Diesel),Various kVA ratings · ISO 8528,"30kVA Perkins diesel generator, soundproof (also ask 60kVA)",per generator,6500000,5500000,8500000,"30kVA Perkins ₦5.5-8.5M (Titanium Power, 18 Mar 2026).",,,,,,,,,,,,
cmu6litp000gzrqc7kdwig5aq,Electrical & power,Electrical Materials,Switch & Socket Outlet,"13A/16A rated, various plate styles · BS 1363 (socket)","13A single switched socket and 1-gang switch, standard plastic (state brand)",per piece,,,,Marketplace results were premium glass-panel units; no standard price.,,,,,,,,,,,,
cmu6lhzk900fzrqc72n07mutg,Electrical & power,Plumbing & Pipes,uPVC Conduit Pipe (Electrical),"20mm / 25mm diameter, light or heavy gauge",DUPLICATE of Fittings conduit - do not quote; retire this row,n/a,,,,Duplicate of a live item.,,,,,,,,,,,,
cmu6llozf00kerqc7v335t642,"Fencing, scaffolding & site equipment","Fencing, Security & Site Materials",Chain-Link Fencing,"Galvanised wire mesh, various gauge/aperture","Galvanised chain-link, 1.8m high x 15m roll, 50mm mesh, 2.5mm wire",per roll,,,,No public quote.,,,,,,,,,,,,
cmu6llx7g00knrqc70g0wdpk7,"Fencing, scaffolding & site equipment","Fencing, Security & Site Materials",Electric Fence Kit (Commercial),"Energiser unit, wire, insulators","Electric fence kit for 100m: energizer, wire, insulators, warning signs",per 100m kit,,,,No public quote (only USD import listings).,,,,,,,,,,,,
cmu6lluiw00kkrqc728yw825j,"Fencing, scaffolding & site equipment","Fencing, Security & Site Materials",Precast Concrete Fence Panel,"Various panel sizes, reinforced concrete",Precast concrete fence panel 2.4m x 0.6m (state whether post included),per panel,,,,No public quote.,,,,,,,,,,,,
cmu6llmii00kbrqc766jnxyfh,"Fencing, scaffolding & site equipment","Fencing, Security & Site Materials",Razor Wire (Concertina),"Galvanised steel, standard coil diameters","Galvanised concertina razor wire, 450mm diameter, ~10m coil",per coil,,,,"Barbed wire ₦20,000-50,000 (Prioni 2026) - different product.",,,,,,,,,,,,
cmu6llrtk00khrqc75c1fgw4x,"Fencing, scaffolding & site equipment","Fencing, Security & Site Materials",Steel Palisade Fencing,Galvanised/painted steel pales and rails,Galvanised steel palisade panel 2.4m long x 1.8m high,per panel,,,,No public quote.,,,,,,,,,,,,
cmu6lm4nr00kwrqc79h5cz04m,"Fencing, scaffolding & site equipment","Scaffolding, Formwork & Site Equipment",Concrete Mixer (Site Equipment),0.5–1.5 bag capacity typical for small sites,"350L drum concrete mixer, diesel (state purchase price and daily rental)",per unit,,,,Jumia results were hand-held mixers; no match.,,,,,,,,,,,,
cmu6lm7kx00kzrqc7b1opnjx9,"Fencing, scaffolding & site equipment","Scaffolding, Formwork & Site Equipment",Concrete Poker Vibrator,"Electric or petrol-driven, various poker head sizes",45mm petrol poker vibrator with 6m shaft (purchase and daily rental),per unit,,,,No public quote.,,,,,,,,,,,,
cmu6llzne00kqrqc702963h37,"Fencing, scaffolding & site equipment","Scaffolding, Formwork & Site Equipment",Scaffolding Frame / Tube & Coupler System,"Galvanised steel tube (48.3mm) and couplers, or frame system · BS EN 12811","H-frame scaffolding set: 10 frames, 20 cross braces, 20 jacks (purchase and rental per day)",per set,,,,No public quote.,,,,,,,,,,,,
cmu6lmcfw00l5rqc75zyuppf2,"Fencing, scaffolding & site equipment","Scaffolding, Formwork & Site Equipment","Site Safety PPE (Helmets, Boots, Harnesses)","Hard hats, safety boots, high-vis vests, harnesses · EN 397 (helmets) / EN 361 (harnesses)","Per worker set: hard hat, safety boots, vest, gloves, goggles",per worker set,,,,"Jumia hard hats ₦8,800-10,000 (helmet only).",,,,,,,,,,,,
cmu6lm1z300ktrqc77dupxlph,"Fencing, scaffolding & site equipment","Scaffolding, Formwork & Site Equipment",Steel Formwork Panel,"Modular steel panel system, various sizes",Steel formwork panel 1.2m x 0.6m (rental per month and purchase),per panel,,,,No public quote.,,,,,,,,,,,,
cmu6lm9ym00l2rqc7kfrb4zxu,"Fencing, scaffolding & site equipment","Scaffolding, Formwork & Site Equipment",Tower Crane / Material Hoist (Rental),Various capacities and jib lengths,"1-tonne material hoist, rental per month incl. operator (also ask tower crane per month)",per month,,,,No public quote.,,,,,,,,,,,,
cmu6llexy00k2rqc7hkar1md5,"Paints, adhesives & waterproofing","Adhesives, Sealants & Waterproofing",Bituminous Waterproofing Membrane,"SBS-modified bitumen membrane, various thickness","SBS torch-on membrane, 3mm, 10m x 1m roll",per roll,,,,No public quote.,,,,,,,,,,,,
cmu6llk2l00k8rqc7202s4t01,"Paints, adhesives & waterproofing","Adhesives, Sealants & Waterproofing",Epoxy Grout / Structural Adhesive,Two-part epoxy system,"Two-part epoxy tile grout, 5kg kit (state brand)",per kit,,,,No public quote.,,,,,,,,,,,,
cmu6llcis00jzrqc7n9cu0udc,"Paints, adhesives & waterproofing","Adhesives, Sealants & Waterproofing",PVC Solvent Cement (Pipe Jointing),Solvent-based PVC adhesive,"PVC solvent cement, 500ml tin",per 500ml tin,,,,No public quote.,,,,,,,,,,,,
cmu6lla3100jwrqc7x95zwt9q,"Paints, adhesives & waterproofing","Adhesives, Sealants & Waterproofing",Silicone Sealant,Neutral-cure or acetoxy silicone,"Neutral-cure silicone sealant, 300ml cartridge (state brand)",per cartridge,,,,"Older ₦2,400 (2.5kg can) is implausible - do not use.",,,,,,,,,,,,
cmu6ll79700jtrqc7llvpemwc,"Paints, adhesives & waterproofing","Adhesives, Sealants & Waterproofing",Tile Adhesive (Cement-Based),"Cement-based, polymer-modified · EN 12004","Cement-based tile adhesive C1, 25kg bag (state brand)",per 25kg bag,,,,"₦2,850-3,500 (older) implausible vs ₦12,000 cement - do not use.",,,,,,,,,,,,
cmu6llheh00k5rqc7sv449hvn,"Paints, adhesives & waterproofing","Adhesives, Sealants & Waterproofing",Wood Glue (PVA),Polyvinyl acetate (PVA) adhesive,"PVA wood glue, 1L bottle",per 1L bottle,,,,No public quote.,,,,,,,,,,,,
cmu6ljhda00hqrqc7pmr5dkm8,"Paints, adhesives & waterproofing",Paints & Coatings,Primer / Undercoat,Alkyd or acrylic primer,"Water-based wall primer/undercoat, 20L (state brand)",per 20L drum,,,,No public quote.,,,,,,,,,,,,
cmu6ljjvf00htrqc7gtucfobo,"Paints, adhesives & waterproofing",Paints & Coatings,Waterproof Coating (Roof / Wall),Elastomeric acrylic or bituminous coating,"Acrylic waterproof coating for roof/wall, 20L (state brand)",per 20L drum,,,,No public quote.,,,,,,,,,,,,
cmu6ljmek00hwrqc7zpq7jrgb,"Paints, adhesives & waterproofing",Paints & Coatings,Wood Stain / Varnish,Solvent or water-based varnish/stain,"Clear gloss wood varnish, 4L (state brand)",per 4L,,,,"Berger Luxol gloss 4L ₦46,000-52,000 (Jun 2026) is oil paint, not varnish.",,,,,,,,,,,,
cmu6li7bw00g8rqc774qjbk51,Plumbing & sanitary ware,Plumbing & Pipes,Gate Valve / Check Valve,"Various sizes, PVC or brass body",1-inch brass gate valve (also ask check valve),per valve,,,,No public quote.,,,,,,,,,,,,
cmu6lhwxl00fwrqc7uxoh9ef4,Plumbing & sanitary ware,Plumbing & Pipes,HDPE Pipe,"PE100, various SDR pressure ratings · ISO 4427","HDPE pipe 32mm PN10, 50m coil",per coil,,,,No public quote.,,,,,,,,,,,,
cmu6lhulo00ftrqc76hi7fbv0,Plumbing & sanitary ware,Plumbing & Pipes,PPR Pipe & Fittings,PN10/PN16/PN20 pressure classes · DIN 8077 / DIN 8078,"PPR pipe 25mm (3/4 inch) PN20, 4m length",per 4m length,1650,1400,1900,"₦1,400-1,900 (Nigerianprice, date unreliable).",,,,,,,,,,,,
cmu6lhmwa00fkrqc7a67qc9uu,Plumbing & sanitary ware,Plumbing & Pipes,"PVC Pipe 1/2"" (Pressure Class)","1/2"" nominal bore, pressure class C/D · ISO 1452 / NIS","PVC pressure pipe 1/2 inch (20mm) class D, 6m length",per 6m length,,,,No public quote.,,,,,,,,,,,,
cmu6lhpix00fnrqc7oy1xp5ch,Plumbing & sanitary ware,Plumbing & Pipes,"PVC Pipe 4"" (Drainage)","4"" nominal bore · ISO 1452 / NIS","PVC drainage pipe 110mm (4 inch), 6m length",per 6m length,6500,5500,7500,"₦5,500-7,500 (Nigerianprice, date unreliable).",,,,,,,,,,,,
cmu6lhs9i00fqrqc77tqj43ef,Plumbing & sanitary ware,Plumbing & Pipes,"PVC Pipe 6"" (Sewer Main)","6"" nominal bore · ISO 1452 / NIS","PVC sewer pipe 160mm (6 inch), 6m length",per 6m length,,,,No public quote.,,,,,,,,,,,,
cmu6li20x00g2rqc77jf9lyd9,Plumbing & sanitary ware,Plumbing & Pipes,Plastic Water Storage Tank,"500L to 10,000L capacity, UV-stabilised","1,000L plastic tank (GeePee or equivalent)",per tank,120000,95000,165000,"₦85,000-110,000 (Nov 2025); live ads ₦130,000-165,000.",,,,,,,,,,,,
cmu6li4mz00g5rqc7wn6bsgfv,Plumbing & sanitary ware,Plumbing & Pipes,Septic Tank (Precast Concrete / Plastic),Various capacities; precast concrete or moulded plastic,"5,000L plastic septic tank (also ask precast ring set)",per tank,,,,No public quote.,,,,,,,,,,,,
cmu6lia6s00gbrqc7ji5stdjd,Plumbing & sanitary ware,Plumbing & Pipes,Water Meter,Mechanical or smart/prepaid meter,25mm (1 inch) mechanical water meter,per meter,,,,No public quote.,,,,,,,,,,,,
cmu6lkumg00jerqc7jo1a9837,Plumbing & sanitary ware,Sanitary Ware & Fittings,Bathtub / Shower Cubicle,"Acrylic or fibreglass, various sizes",Acrylic bathtub 1.7m (also ask shower cubicle 900x900),per unit,,,,"Ikeja seller listing: executive bathtub ₦550,000 (premium tier).",,,,,,,,,,,,
cmu6lkx0000jhrqc7yst1gmf1,Plumbing & sanitary ware,Sanitary Ware & Fittings,Kitchen Sink (Stainless Steel),"Stainless steel, various bowl configurations",Double-bowl stainless steel kitchen sink 1200mm,per sink,57500,55000,60000,"Jumia dual-bowl ₦55,000-60,000 (25 Sep 2026).",,,,,,,,,,,,
cmu6lkzey00jkrqc7d1kjk9ut,Plumbing & sanitary ware,Sanitary Ware & Fittings,Mixer Tap / Faucet,"Chrome-plated brass, various finishes",Chrome kitchen/basin mixer tap (state brand),per tap,21000,20000,22500,"Jumia stainless mixers ₦20,000-22,500.",,,,,,,,,,,,
cmu6ll1sx00jnrqc77dlmhre6,Plumbing & sanitary ware,Sanitary Ware & Fittings,"Shower Set (Head, Mixer, Rail)","Chrome-plated, various configurations",Exposed shower mixer set with head and rail,per set,,,,"Ikeja seller listings ₦55,000-150,000 (premium tier).",,,,,,,,,,,,
cmu6ll4h600jqrqc75gdrp5kv,Plumbing & sanitary ware,Sanitary Ware & Fittings,Urinal / Bidet (Commercial),Wall-hung ceramic urinal or bidet,Wall-hung ceramic urinal (also ask bidet),per piece,,,,No public quote.,,,,,,,,,,,,
cmu6lks2p00jbrqc7lax1yg8b,Plumbing & sanitary ware,Sanitary Ware & Fittings,Wash Hand Basin,"Ceramic, pedestal or countertop mount",Ceramic pedestal wash hand basin (state brand),per basin,,,,"Ikeja seller: basin with cabinet ₦150,000-190,000 (premium tier).",,,,,,,,,,,,
cmu6lkppo00j8rqc78novgkzi,Plumbing & sanitary ware,Sanitary Ware & Fittings,Water Closet (WC) Suite,"Close-coupled or wall-hung, ceramic vitreous china","Close-coupled ceramic WC suite, standard mid-range (state brand)",per set,140000,62000,320000,"₦62,000-320,000 across vendor listings (undated).",,,,,,,,,,,,
cmu6lkb9p00iqrqc7rvgjcpnt,Roofing & ceilings,Ceiling & POP/Gypsum,Cornice / Ceiling Trim,"POP or PVC/polystyrene profile, various widths","Gypsum/POP cornice 4-inch, 3m length",per 3m length,,,,No public quote.,,,,,,,,,,,,
cmu6lk1e000ierqc7m7zt9rwc,Roofing & ceilings,Ceiling & POP/Gypsum,Gypsum Ceiling Board (Standard),1210mm width x 2400–3000mm length; 9–12.5mm thickness · ASTM C1396,Standard gypsum board 1.2m x 2.4m x 9mm,per sheet,,,,No usable public quote.,,,,,,,,,,,,
cmu6lk3uc00ihrqc7csietla5,Roofing & ceilings,Ceiling & POP/Gypsum,POP (Plaster of Paris) Ceiling Tile,Approx. 600 x 600mm tile / cast POP work,"POP ceiling tile 600x600mm, supply only",per tile,,,,"POP ceiling installed ₦7,000-25,000/m² incl. labour (Prioni 2026) - not comparable.",,,,,,,,,,,,
cmu6lk8ro00inrqc7fw0edn2p,Roofing & ceilings,Ceiling & POP/Gypsum,PVC Ceiling Panel,"Standard PVC panel widths, various lengths",PVC ceiling panel 250mm x 5m (state thickness),per panel,,,,No public quote.,,,,,,,,,,,,
cmu6lk6ce00ikrqc7e2b8cnz2,Roofing & ceilings,Ceiling & POP/Gypsum,Suspended Ceiling Grid System (T & L Angle),Aluminium/galvanised T-bar and L-angle profiles,"Complete suspended grid (main tee, cross tee, wall angle), supply only",per m² of ceiling,,,,No public quote.,,,,,,,,,,,,
cmu6lfybe00dqrqc7qoy997w5,Roofing & ceilings,Roofing Materials,Aluzinc (Galvalume) Roofing Sheet,Zinc-aluminium alloy coated steel,"Aluzinc 0.4mm corrugated, per m² (state sheet width and length)",per m²,4300,3800,5000,"₦4,300/m² for 0.4mm (single snippet, unverified).",,,,,,,,,,,,
cmu6lg1gc00dtrqc7n15epwr3,Roofing & ceilings,Roofing Materials,Galvanised Iron (GI) Roofing Sheet,"Gauge 0.4–0.6mm, hot-dip galvanised","GI corrugated 0.45mm, per m²",per m²,,,,"Zinc sheets ₦4,500-6,500/m² (Prioni 2026 cost guide).",,,,,,,,,,,,
cmu6lg91x00e2rqc70fxo2q50,Roofing & ceilings,Roofing Materials,Reflective Foil Roof Insulation,Aluminium-foil-faced insulation roll,"Double-sided reflective foil insulation, 1.2m x 40m roll",per roll,,,,No public quote.,,,,,,,,,,,,
cmu6lg44l00dwrqc7yvtl59np,Roofing & ceilings,Roofing Materials,Roofing Nails / Screws with Rubber Washer,Self-drilling screws with EPDM washer,"Self-drilling roofing screws with rubber washer, box of 100",per box of 100,,,,No public quote.,,,,,,,,,,,,
cmu6leah900bzrqc7lo2fw6in,Steel & reinforcement,Reinforcement & Structural Steel,Angle Iron (Equal Angle),"25×25mm to 100×100mm, 3–8mm thickness · BS EN 10056","Mild steel equal angle 50x50x5mm, 6m length",per 6m length,,,,No public quote.,,,,,,,,,,,,
cmu6le5d300btrqc7vb96ub9l,Steel & reinforcement,Reinforcement & Structural Steel,BRC Welded Wire Mesh,Mesh types A142–A393; 100/200mm grid · BS 4483,"BRC A142 mesh, 2.4m x 4.8m sheet",per sheet,,,,No usable public quote.,,,,,,,,,,,,
cmu6le2rl00bqrqc7bmlzacnn,Steel & reinforcement,Reinforcement & Structural Steel,Binding Wire,"Gauge 16 (1.6mm), annealed mild steel","Soft annealed binding wire, 25kg roll",per 25kg roll,30000,18000,38000,"₦18,000-30,000 per roll (Prioni Feb 2026); roll weight unclear.",,,,,,,,,,,,
